Mã chứng khoán,Tên chứng khoán,Ngành,% Thay đổi
YEG,Công ty Cổ phần Tập đoàn Yeah1,Truyền thông,-52.53
KPF,Công ty Cổ phần Đầu tư Tài chính Hoàng Minh,Xây dựng và Vật liệu,-49.47000000000001
TN1,Công ty Cổ phần Thương mại Dịch vụ TNS Holdings,Bất động sản,-45.36000000000001
